review_id,review_text,rating,rating_text,processed_text
en_0522546,"Not strong enough to run a small 120v vacuum cleaner ...

Not strong enough to run a small 120v vacuum cleaner, to clean car.",2,2,strong enough run small v vacuum cleaner strong enough run small v vacuum cleaner clean car
en_0612910,"Crap

The leg openings are a little small, but other than that the suit fits nicely, and is high quality material. Edit: I have been wearing this for less than two months and it is 100% worn out. It has worn so thin in multiple spots that it’s no longer appropriate for wearing in public, I have to throw it away. This is unacceptable.",1,1,crap leg opening little small suit fit nicely high quality material edit wearing less two month worn worn thin multiple spot longer appropriate wearing public throw away unacceptable
en_0983065,"Four Stars

Really cute mug. I would have given 5 stars if it were a bit bigger.",3,3,four star really cute mug would given star bit bigger
en_0206761,"Lies!!

Well it’s looks and feels okay but it most certainly does not have 4 pockets that’s a lie it has 3 so that’s pretty messed up to say it has 4 when it’s only 3 the fabric is super stiff hopefully after washing it will be better",1,1,lie well look feel okay certainly pocket lie pretty messed say fabric super stiff hopefully washing better
en_0510474,"Thin and bendable :(

Very, very thin, you can bend them with you fingers with no problem! Print is small.. More of a decoration. Would give 1/2 star!",0,0,thin bendable thin bend finger problem print small decoration would give star
en_0327670,"Came broken

Super cute! Loved it until I noticed that the casing around the purple rock was coming apart straight out of the package. SAD!",0,0,came broken super cute loved noticed casing around purple rock coming apart straight package sad
en_0608909,"As Pictured and Described

Fairly thick material, so the poncho should be good for multiple uses. It's VERY large, so if you're small in size don't expect it to be fashionable. I'm 5'3"" and it covers me from head to calf. Definitely gets the job done in keeping you covered.",3,3,pictured described fairly thick material poncho good multiple us large small size expect fashionable cover head calf definitely get job done keeping covered
en_0579874,"Holds a lot of stuff.

These bags have a lot of space in them, good thing about these bags is that I can easily see what's inside then. Very reasonable price.",4,4,hold lot stuff bag lot space good thing bag easily see inside reasonable price
en_0361593,"Four Stars

Super cute and very sturdy set. Looks great on my desk.",3,3,four star super cute sturdy set look great desk
en_0334202,"One Star

Broke down after a month's use!!",0,0,one star broke month use
en_0652435,"Not the best

Side buttons are now much harder to click, and camera cutout on the back is not a precise cut, there is about a mm of space left between the case and the camera module",1,1,best side button much harder click camera cutout back precise cut mm space left case camera module
en_0115301,"Four Stars

Nice looks like picture",3,3,four star nice look like picture
en_0084342,"Great Gift!

Bought this for my girlfriend, and she loved it! Might need to be washed first because it does smell like plastic at first due to the packaging, but it's a great plush!",4,4,great gift bought girlfriend loved might need washed first smell like plastic first due packaging great plush
en_0131452,"design flaw cost me money.

I’m giving three stars overall because there is a design flaw. The legs do not firmly attach to the lower panel. I didn’t realize this and lifted the utility cart up, making the front two legs come up off the bottom panel, and one of the wheels fells off (more about that below), causing the cart to fall over. At the time I was trying to clean my large window AC, which was on top of the cart. The AC fell with the cart, hitting its side on concrete. It broke because of this flaw. About the wheels - I thought I had pounded them in well enough but I hadn’t. I immediately flipped the cart and smacked them in with a mallet. While that was my fault, the leg supports coming off so easily are a major flaw and something to be aware of while using it. Possibly you could drill holes through the base pedestals and the part of the legs that fit over them and stick a metal rod through both. Maybe super glue would work as well. I don’t know but I had to buy a new AC because of this fail.",2,2,design flaw cost money giving three star overall design flaw leg firmly attach lower panel realize lifted utility cart making front two leg come bottom panel one wheel fell causing cart fall time trying clean large window ac top cart ac fell cart hitting side concrete broke flaw wheel thought pounded well enough immediately flipped cart smacked mallet fault leg support coming easily major flaw something aware using possibly could drill hole base pedestal part leg fit stick metal rod maybe super glue would work well know buy new ac fail
en_0405108,"Beautiful, but may not work how you want on darker skin

Looks beautiful in the case, but VERY light for darker complexions.. it's a subtle look for sure",2,2,beautiful may work want darker skin look beautiful case light darker complexion subtle look sure
en_0880084,"Check all parts before use

Item was not sealed and was missing parts",2,2,check part use item sealed missing part
en_0894170,"I have mixed feelings about these.

There are things I like about these and things I don't. Pros: They take up very little space and make a lot of ice cubes. The ice cubes are easy to get out of the trays. Cons: The ice cubes take forever to freeze. Since they are silicone and very flexible, it is hard to get the trays from the sink to the freezer without spilling (even with the lids on). I like them and will keep using them, but my husband really doesn't care for them.",2,2,mixed feeling thing like thing pro take little space make lot ice cube ice cube easy get tray con ice cube take forever freeze since silicone flexible hard get tray sink freezer without spilling even lid like keep using husband really care
en_0017328,"PERFECT

Our finance team was needing more calculator rolls and could not find any locally. Thank you for having them.",4,4,perfect finance team needing calculator roll could find locally thank
