review_id,review_text,rating,rating_text
en_0522546,"Not strong enough to run a small 120v vacuum cleaner ...

Not strong enough to run a small 120v vacuum cleaner, to clean car.",2,2
en_0612910,"Crap

The leg openings are a little small, but other than that the suit fits nicely, and is high quality material. Edit: I have been wearing this for less than two months and it is 100% worn out. It has worn so thin in multiple spots that it’s no longer appropriate for wearing in public, I have to throw it away. This is unacceptable.",1,1
en_0983065,"Four Stars

Really cute mug. I would have given 5 stars if it were a bit bigger.",3,3
en_0206761,"Lies!!

Well it’s looks and feels okay but it most certainly does not have 4 pockets that’s a lie it has 3 so that’s pretty messed up to say it has 4 when it’s only 3 the fabric is super stiff hopefully after washing it will be better",1,1
en_0510474,"Thin and bendable :(

Very, very thin, you can bend them with you fingers with no problem! Print is small.. More of a decoration. Would give 1/2 star!",0,0
en_0327670,"Came broken

Super cute! Loved it until I noticed that the casing around the purple rock was coming apart straight out of the package. SAD!",0,0
en_0608909,"As Pictured and Described

Fairly thick material, so the poncho should be good for multiple uses. It's VERY large, so if you're small in size don't expect it to be fashionable. I'm 5'3"" and it covers me from head to calf. Definitely gets the job done in keeping you covered.",3,3
en_0579874,"Holds a lot of stuff.

These bags have a lot of space in them, good thing about these bags is that I can easily see what's inside then. Very reasonable price.",4,4
en_0361593,"Four Stars

Super cute and very sturdy set. Looks great on my desk.",3,3
en_0334202,"One Star

Broke down after a month's use!!",0,0
en_0652435,"Not the best

Side buttons are now much harder to click, and camera cutout on the back is not a precise cut, there is about a mm of space left between the case and the camera module",1,1
en_0115301,"Four Stars

Nice looks like picture",3,3
en_0084342,"Great Gift!

Bought this for my girlfriend, and she loved it! Might need to be washed first because it does smell like plastic at first due to the packaging, but it's a great plush!",4,4
en_0131452,"design flaw cost me money.

I’m giving three stars overall because there is a design flaw. The legs do not firmly attach to the lower panel. I didn’t realize this and lifted the utility cart up, making the front two legs come up off the bottom panel, and one of the wheels fells off (more about that below), causing the cart to fall over. At the time I was trying to clean my large window AC, which was on top of the cart. The AC fell with the cart, hitting its side on concrete. It broke because of this flaw. About the wheels - I thought I had pounded them in well enough but I hadn’t. I immediately flipped the cart and smacked them in with a mallet. While that was my fault, the leg supports coming off so easily are a major flaw and something to be aware of while using it. Possibly you could drill holes through the base pedestals and the part of the legs that fit over them and stick a metal rod through both. Maybe super glue would work as well. I don’t know but I had to buy a new AC because of this fail.",2,2
en_0405108,"Beautiful, but may not work how you want on darker skin

Looks beautiful in the case, but VERY light for darker complexions.. it's a subtle look for sure",2,2
en_0880084,"Check all parts before use

Item was not sealed and was missing parts",2,2
